year,adjective,gender
2015,second,male
2015,decent,male
2015,ordinary,male
2015,future,male
2015,nice,male
2015,assistant,male
2015,powerful,male
2015,real,male
2015,cross,male
2015,young,male
2015,young,male
2014,moneyed,male
2014,young,male
2014,typical,male
2014,willful,male
2014,victorious,male
2014,young,male
2014,associate,male
2014,previous,male
2014,underprivileged,male
2014,balanced,male
2014,upright,male
2014,twin,male
2014,jealous,male
2014,young,male
2014,masked,male
2014,senior,male
2014,influential,male
2014,hot,male
2014,hot,male
2014,rich,male
2014,local,male
2014,black,male
2014,real,male
2014,seasoned,male
2014,asian,male
2014,assistant,male
2013,drunk,male
2013,religious,male
2013,corrupt,male
2013,wealthy,male
2013,angry,male
2013,british,male
2013,late,male
2013,enraged,male
2013,local,male
2013,desperate,male
2013,similar,male
2013,single,male
2013,conscious,male
2013,odd,male
2013,second,male
2013,twin,male
2013,twin,male
2013,twin,male
2013,homeless,male
2013,innocent,male
2013,bereft,male
2013,handsome,male
2013,strict,male
2013,old,male
2013,rich,male
2013,delinquent,male
2013,scheming,male
2013,violent,male
2013,unbeknownst,male
2013,loyal,male
2013,bearded,male
2013,idealistic,male
2013,powerful,male
2013,foolish,male
2013,brave,male
2013,real,male
2013,couple,male
2012,angel,male
2012,new,male
2012,young,male
2012,useless,male
2012,aspiring,male
2012,british,male
2012,flirtatious,male
2012,young,male
2012,faizal,male
2012,late,male
2012,fictitious,male
2012,young,male
2012,ordinary,male
2012,lead,male
2012,lost,male
2012,young,male
2012,french,male
2012,young,male
2012,diffident,male
2012,strict,male
2012,tutor,male
2012,lively,male
2012,elder,male
2012,perfect,male
2012,old,male
2012,young,male
2012,bitter,male
2012,unemployed,male
2012,superior,male
2012,assistant,male
2012,dead,male
2012,perfect,male
2012,depressed,male
2011,real,male
2011,frustrated,male
2011,tail,male
2011,middle,male
2011,gravesite,male
2011,local,male
2011,senior,male
2011,respective,male
2011,upright,male
2011,old,male
2011,associate,male
2011,furious,male
2011,furious,male
2011,biological,male
2011,new,male
2011,local,male
2011,simple,male
2011,bemused,male
2011,blind,male
2011,good,male
2011,emotional,male
2011,local,male
2011,conservative,male
2011,simple,male
2011,bitter,male
2011,veteran,male
2011,honest,male
2010,young,male
2010,real,male
2010,wounded,male
2010,elderly,male
2010,suspicious,male
2010,common,male
2010,desperate,male
2010,powerful,male
2010,future,male
2010,leftist,male
2010,chief,male
2010,brokenhearted,male
2010,stern,male
2010,flirtatious,male
2010,lead,male
2010,sympathetic,male
2010,young,male
2010,idiotic,male
2010,aspiring,male
2010,young,male
2010,flat,male
2010,local,male
2010,local,male
2010,senior,male
2010,reclusive,male
2010,greedy,male
2010,famous,male
2010,noble,male
2009,surrogate,male
2009,hellish,male
2009,confederate,male
2009,bereft,male
2009,young,male
2009,divorced,male
2009,inebriated,male
2009,policemen,male
2009,twin,male
2009,valid,male
2009,short,male
2009,second,male
2009,late,male
2009,legendary,male
2009,old,male
2009,local,male
2009,young,male
2009,adopted,male
2009,selfish,male
2009,carefree,male
2009,wealthy,male
2009,certain,male
2009,old,male
2009,present,male
2009,opposite,male
2009,annoyed,male
2009,successful,male
2009,young,male
2009,real,male
2009,mere,male
1986,healthy,male
1986,respective,male
1986,old,male
1986,adult,male
1986,enraged,male
1986,teenage,male
1986,rich,male
1986,young,male
1986,orphaned,male
1986,innocent,male
1986,adopted,male
1986,responsible,male
1986,cunning,male
1986,ordinary,male
1986,sluggish,male
1986,blind,male
1986,old,male
1986,young,male
1986,blind,male
1986,young,male
1971,blind,male
1972,second,male
1972,little,male
1971,petty,male
1972,honest,male
1972,young,male
1972,rich,male
1972,real,male
1972,reputed,male
1971,sharpshooting,male
1972,horrified,male
1972,crippled,male
1972,honourable,male
1972,old,male
1972,elder,male
1972,aspiring,male
1972,rich,male
1972,unseen,male
1972,normal,male
1972,poor,male
1972,rogue,male
1972,wealthy,male
1972,dead,male
1972,civil,male
1972,cruel,male
1972,local,male
1994,particular,male
1994,poor,male
1994,twin,male
1994,imposing,male
1994,innocent,male
1973,young,male
1994,reluctant,male
1994,honest,male
1994,inside,male
1994,dutiful,male
1994,young,male
1994,unemployed,male
1994,second,male
1994,nice,male
1994,wealthy,male
1994,old,male
1994,millionaire,male
1994,young,male
1995,nameless,male
1974,licentious,male
1995,dead,male
1995,simple,male
1974,foster,male
1995,wealthy,male
1995,wealthy,male
1995,legitimate,male
1995,old,male
1995,nameless,male
1995,fellow,male
1995,young,male
1995,rich,male
1995,real,male
1995,good,male
1995,helpless,male
1995,common,male
1995,new,male
1995,lively,male
1975,gullible,male
1975,dead,male
1975,powerful,male
1975,nomadic,male
2012,captured,male
2012,upset,male
2012,reckless,male
2012,honest,male
2012,little,male
2012,old,male
2012,chartered,male
1976,impoverished,male
1976,dead,male
1976,greedy,male
2012,disabled,male
1976,young,male
1977,flamboyant,male
2011,heartless,male
2011,beautiful,male
2010,broken,male
2010,successful,male
2010,british,male
2010,reclusive,male
2010,elderly,male
2010,evil,male
2010,successful,male
2010,real,male
2010,local,male
2010,ardent,male
2010,wild,male
2009,young,male
2009,future,male
2009,aman,male
2009,talented,male
2014,young,male
1980,young,male
2014,young,male
1980,angry,male
1980,benevolent,male
2014,terrorist,male
2014,aged,male
2014,sudden,male
2014,royal,male
2014,lucky,male
2014,common,male
2014,old,male
2014,local,male
2014,average,male
2014,old,male
2014,previous,male
2014,dead,male
2014,blind,male
2014,witty,male
2014,local,male
2014,studious,male
2014,popular,male
1981,mute,male
2013,disgraced,male
1981,biological,male
1981,favourite,male
2013,honest,male
2013,real,male
1981,maternal,male
1982,young,male
1982,young,male
2013,kataria,male
2013,great,male
2013,old,male
2013,scared,male
2013,young,male
2013,silent,male
2013,nearby,male
2013,mole,male
2013,arch,male
2013,alive,male
1983,twin,male
1983,faithful,male
1983,innocent,male
1984,second,male
1984,young,male
1984,senior,male
1984,rich,male
1985,young,male
1985,new,male
1985,middle,male
2017,ingenious,male
2017,notorious,male
2017,horrified,male
2017,good,male
2017,fluent,male
2017,poor,male
1987,young,male
1987,young,male
2017,international,male
2017,abusive,male
2017,common,male
2017,young,male
2017,close,male
2017,unknown,male
1987,rich,male
2017,biological,male
2017,rich,male
2017,twin,male
2017,old,male
2017,stubborn,male
2017,irate,male
2017,young,male
2017,brave,male
2017,wealthy,male
2017,fierce,male
2017,wrong,male
2017,young,male
2017,young,male
1987,local,male
1987,christian,male
1988,poor,male
1988,unemployed,male
1988,identical,male
1988,talented,male
1988,young,male
1988,young,male
1988,vagabond,male
1988,old,male
1989,powerful,male
1989,cruel,male
1990,young,male
1990,scheming,male
1990,young,male
1991,twin,male
1991,young,male
1991,poor,male
1991,sympathetic,male
1991,distraught,male
1992,injured,male
1992,successful,male
1992,lookalike,male
1992,dead,male
1992,young,male
1992,local,male
1992,senior,male
1992,ancient,male
1992,apprehend,male
1992,honorable,male
1993,young,male
1993,young,male
1993,illiterate,male
1993,rich,male
1993,indian,male
1993,young,male
1993,local,male
1993,widowed,male
1993,honest,male
1996,single,male
1996,sunny,male
1996,good,male
2016,iraqi,male
2016,indian,male
2016,real,male
2016,secret,male
2016,respectable,male
2016,tired,male
2016,upright,male
2016,old,male
