year,verb,gender
2007,commits,female
2007,revolves,female
2007,opens,female
2007,walks,female
2007,returns,female
2007,takes,female
2007,finds,female
2007,forgives,female
2007,comes,female
2007,needs,female
2007,faces,female
2007,hires,female
2007,wants,female
2007,gives,female
2007,decides,female
2007,notices,female
2007,longs,female
2007,broods,female
2007,arrives,female
2007,feels,female
2007,blames,female
2007,begins,female
2007,leaves,female
2007,reunites,female
2007,gives,female
2007,finds,female
2007,turns,female
2007,loves,female
2007,notifies,female
2007,realizes,female
2007,meets,female
2007,meets,female
2007,reveals,female
2007,turns,female
2007,leaves,female
2007,arrives,female
2007,shows,female
2008,bails,female
2008,hears,female
2008,takes,female
2008,gives,female
2008,gets,female
2008,brother,female
2008,remarks,female
2008,shows,female
2008,meets,female
2008,holds,female
2008,wants,female
2008,expresses,female
2008,meets,female
2008,calls,female
2008,arrives,female
2008,turns,female
2008,refuses,female
2008,persuades,female
2008,reaches,female
2008,treats,female
2008,wants,female
2008,meets,female
2008,meets,female
2008,asks,female
2008,throws,female
2008,crashes,female
2008,reaches,female
2008,marries,female
2008,saves,female
2008,kidnaps,female
2008,wants,female
2008,meets,female
2008,introduces,female
2008,decides,female
2008,reflects,female
2008,feels,female
2008,meets,female
2009,meets,female
2009,tells,female
2009,takes,female
2009,thinks,female
2009,gives,female
2009,shuts,female
2009,lets,female
2009,struggles,female
2010,sees,female
2010,succeeds,female
2010,approaches,female
2010,cuts,female
2010,sponsors,female
2010,meets,female
2010,meets,female
2010,blames,female
2010,believes,female
2010,knocks,female
2010,consoles,female
2010,reaches,female
2010,reveals,female
2010,berates,female
2010,meets,female
2010,meets,female
2010,moves,female
2011,sends,female
2011,brings,female
2011,tells,female
2011,communicates,female
2011,meets,female
2011,tells,female
2011,loves,female
2011,loves,female
2011,comes,female
2012,raises,female
2012,lies,female
2012,meets,female
2012,comes,female
2012,slaps,female
2012,arrives,female
2012,realizes,female
2012,takes,female
2013,fails,female
2013,calls,female
2013,shows,female
2013,notices,female
2013,allows,female
2013,sends,female
2013,meets,female
2013,meets,female
2013,watches,female
2013,meets,female
2014,points,female
2015,ends,female
2015,reveals,female
2015,calls,female
2015,manages,female
2015,resists,female
2015,refuses,female
2015,feigns,female
2015,meets,female
2015,meets,female
2015,checks,female
2015,tries,female
2015,meets,female
2015,meets,female
2015,decides,female
2015,works,female
2015,gets,female
2015,wants,female
2015,irritates,female
2015,calls,female
2015,treats,female
2015,meets,female
2015,gets,female
2015,rescues,female
2015,emerges,female
2015,falls,female
2015,takes,female
2015,takes,female
2015,misses,female
2015,makes,female
2015,introduces,female
2015,warns,female
2015,finds,female
2015,shoots,female
2015,meets,female
2015,encourages,female
2015,alights,female
2015,misses,female
2015,impresses,female
2015,synopsis,female
2015,synopsis,female
2015,synopsis,female
2015,synopsis,female
2015,tells,female
2015,leads,female
2015,shoots,female
2015,stops,female
2015,spends,female
2015,relays,female
2015,offers,female
2014,befriends,female
2014,wins,female
2014,reveals,female
2014,kills,female
2014,feels,female
2014,stabs,female
2014,tells,female
2014,meets,female
2014,goes,female
2014,loses,female
2014,kidnaps,female
2014,plunges,female
2014,triggers,female
2014,disappears,female
2014,sedates,female
2014,chases,female
2014,decides,female
2014,lives,female
2014,says,female
2013,falls,female
2013,tells,female
2013,decides,female
2013,feels,female
2013,lives,female
2013,informs,female
2013,does,female
2013,chides,female
2013,helps,female
2013,enters,female
2013,kills,female
2013,sees,female
2013,shoots,female
2013,proposes,female
2013,finds,female
2013,begins,female
2013,dies,female
2013,marries,female
2013,goes,female
2013,meets,female
2013,tries,female
2013,travels,female
2013,comes,female
2013,confesses,female
2013,meets,female
2013,harbors,female
2012,proposes,female
2012,arrives,female
2012,gets,female
2012,thinks,female
2012,informs,female
2012,shoots,female
2012,tells,female
2012,makes,female
2012,presents,female
2012,agrees,female
2012,learns,female
2012,sends,female
2012,hires,female
2012,lives,female
2012,doubts,female
2012,meets,female
2012,hits,female
2012,drags,female
2012,swallows,female
2012,arrives,female
2012,embraces,female
2012,includes,female
2012,makes,female
2012,starts,female
2012,offers,female
2012,divorces,female
2012,sees,female
2012,saves,female
2012,seeks,female
2012,loses,female
2012,harasses,female
2012,meets,female
2011,decides,female
2011,asks,female
2011,joins,female
2011,meets,female
2011,experiences,female
2011,misses,female
2011,decides,female
2011,kills,female
2011,falls,female
2011,realizes,female
2011,sees,female
2011,invites,female
2011,runs,female
2011,confronts,female
2011,recovers,female
2011,targets,female
2011,kidnaps,female
2011,moves,female
2011,finds,female
2011,confronts,female
2011,calls,female
2011,reveals,female
2011,lives,female
2011,tells,female
2011,explains,female
2011,spots,female
2011,joins,female
2011,kills,female
2011,convinces,female
2011,arrives,female
2011,enters,female
2011,picks,female
2011,picks,female
2011,meets,female
2011,meets,female
2011,criticises,female
2011,runs,female
2011,meets,female
2010,falls,female
2010,comes,female
2010,meets,female
2010,goes,female
2010,visits,female
2010,welcomes,female
