year,adjective,gender
2011,beautiful,female
2011,ambitious,female
2012,accomplice,female
2012,beautiful,female
2012,old,female
2012,rich,female
2013,pregnant,female
2013,young,female
2013,deceased,female
2013,broken,female
2014,sister,female
2014,disabled,female
2015,twin,female
2015,undercover,female
2015,young,female
2015,local,female
2015,assistant,female
2015,beautiful,female
2015,young,female
2015,dead,female
2015,beautiful,female
2015,late,female
2015,young,female
2015,blind,female
2015,traditional,female
2015,kenyan,female
2015,fake,female
2015,new,female
2015,shocked,female
2015,single,female
2015,injured,female
2015,rebellious,female
2015,pregnant,female
2015,old,female
2015,concerned,female
2015,adopted,female
2015,sister,female
2015,escort,female
2015,fat,female
2015,single,female
2015,young,female
2015,brothel,female
2015,rich,female
2015,new,female
2015,pregnant,female
2015,pregnant,female
2014,wrong,female
2014,eloped,female
2014,reclusive,female
2014,wrong,female
2014,pregnant,female
2014,working,female
2014,fiance,female
2014,indian,female
2014,insane,female
2014,real,female
2014,lead,female
2014,married,female
2014,new,female
2014,upset,female
2014,little,female
2014,young,female
2014,quietly,female
2014,perfect,female
2014,little,female
2014,young,female
2014,teenage,female
2013,poor,female
2013,conservative,female
2013,young,female
2013,widowed,female
2013,widowed,female
2013,irresistible,female
2013,innocent,female
2013,pregnant,female
2013,muslim,female
2013,carefree,female
2013,right,female
2013,reluctant,female
2013,little,female
2013,independent,female
2013,fake,female
2013,social,female
2013,young,female
2013,dejected,female
2012,widowed,female
2012,beloved,female
2012,widowed,female
2012,little,female
2012,confident,female
2012,young,female
2012,popular,female
2012,dead,female
2012,female,female
2012,overbearing,female
2012,housemaid,female
2012,cherubic,female
2012,small,female
2012,eccentric,female
2012,popular,female
2012,happy,female
2012,secret,female
2011,late,female
2011,biological,female
2011,single,female
2011,chinese,female
2011,nanny,female
2011,late,female
2011,young,female
2011,handicapped,female
2011,old,female
2011,late,female
2011,betrayal,female
2011,mysterious,female
2011,british,female
2011,little,female
2011,usual,female
2011,unwilling,female
2011,real,female
2011,younger,female
2011,new,female
2011,moll,female
2011,beautiful,female
2011,aspiring,female
2010,little,female
2010,real,female
2010,second,female
2010,modest,female
2010,poor,female
2010,beautiful,female
2010,rich,female
2010,mexican,female
2010,assistant,female
2010,small,female
2010,archetypical,female
2010,impoverished,female
2010,teenage,female
2010,perfect,female
